,target_wind_speed,pred_svr
117753,5.0,4.322620003500859
117754,0.0,5.345310117946202
117755,9.0,4.232998285961763
117756,11.0,7.9117870843530795
117757,11.0,10.167979877802225
117758,34.0,9.920134202783952
117759,17.0,27.226533970520645
117760,18.0,19.82971342033897
117761,39.0,18.98707239631069
117762,50.0,35.08576861877321
117763,61.0,41.59113573075523
117764,24.0,53.08508113100352
117765,54.0,32.069592519728204
117766,55.0,37.52570896176316
117767,34.0,46.64820262474235
117768,18.0,39.663229011827326
117769,24.0,26.392240763110106
117770,30.0,27.111985735668924
117771,46.0,31.824184321870284
117772,46.0,42.97246976897854
117773,41.0,45.15472651513271
117774,11.0,40.84965056802051
117775,8.0,25.590219631027672
117776,15.0,21.14203860026745
117777,22.0,23.54196672336803
117778,30.0,26.12008589461833
117779,41.0,32.23959514234285
117780,11.0,39.24920187337167
117781,26.0,25.53654924711702
117782,48.0,27.82783615403415
117783,50.0,38.82311408699625
117784,43.0,38.29211101258618
117785,5.0,40.71871230466199
117786,22.0,23.718166232677298
117787,55.0,25.71373551204505
117788,52.0,27.152769103923056
117789,43.0,48.872755826244145
117790,17.0,43.204873933513184
117791,65.0,25.791800483728537
117792,63.0,31.260296122842654
117793,39.0,46.41201372788056
117794,32.0,41.83249046873103
117795,32.0,32.27993615703661
117796,30.0,32.42463852276859
117797,32.0,31.698867942766093
117798,34.0,31.26306780224079
117799,34.0,28.664309234129238
117800,35.0,29.662150084360277
117801,32.0,30.065490862628103
117802,26.0,31.025592459103596
117803,24.0,26.03619985595064
117804,17.0,23.41081905167729
117805,35.0,19.63779658327565
117806,35.0,31.43660973616798
117807,39.0,32.318533906846646
117808,37.0,35.390157906247616
117809,35.0,35.17977178394413
117810,37.0,33.47820756322122
117811,32.0,30.879267844210087
117812,30.0,29.724281478729964
117813,28.0,28.276167438835927
117814,24.0,27.084287317351464
117815,22.0,24.12343447716585
117816,18.0,17.83574574065779
117817,15.0,15.222062765768769
117818,15.0,12.86401344973976
117819,11.0,12.334518583753715
117820,5.0,10.708689789082204
117821,22.0,7.8934094838784965
117822,39.0,21.485950890031035
117823,30.0,34.93302903718198
117824,32.0,34.263249459912686
117825,37.0,34.62562698449216
117826,37.0,37.123579938269756
117827,28.0,34.94680346899493
117828,26.0,29.537358421760047
117829,43.0,27.484389894977163
117830,26.0,34.43791065791404
117831,34.0,30.16725287243323
117832,39.0,32.46559062341342
117833,37.0,36.03907863415498
117834,26.0,36.1084703863249
117835,34.0,29.236098029743488
117836,24.0,31.26113961165547
117837,48.0,26.44582507411881
117838,34.0,40.94559869085215
117839,28.0,35.02031640932157
117840,41.0,30.696086656568664
117841,41.0,37.914613891340025
117842,39.0,39.98164248361782
117843,35.0,36.57128703184579
117844,21.0,32.42129030917275
117845,41.0,26.48831938796975
117846,50.0,33.083865725787874
117847,41.0,43.14543709785381
117848,34.0,43.21899452144547
117849,26.0,33.86926266712973
117850,26.0,28.161925386976367
117851,28.0,28.31766290147563
117852,37.0,30.61187884580416
117853,35.0,30.615197712893927
117854,45.0,30.67718337245491
117855,34.0,30.004974772727195
117856,45.0,31.050429502035662
117857,41.0,35.43160794136343
117858,32.0,37.29192526343051
117859,41.0,33.64229862008531
117860,32.0,30.63437439839065
117861,34.0,29.78661981167571
117862,35.0,29.107969688172297
117863,54.0,29.76018586635397
117864,34.0,45.54704680971521
117865,46.0,38.145101672516745
117866,22.0,41.81748912848461
117867,46.0,26.308521702919485
117868,32.0,31.405454440691464
117869,48.0,33.36201513154887
117870,61.0,44.122434078913194
117871,68.0,53.5082854664514
117872,50.0,55.614086398608734
117873,55.0,50.129660765755354
117874,41.0,52.447007940624836
117875,41.0,44.95985189043899
117876,34.0,34.61512321622194
117877,58.0,32.06994732333552
117878,61.0,44.91420864190606
117879,61.0,51.09993633696848
117880,63.0,52.651878808690654
117881,45.0,51.46335301228881
117882,39.0,46.9207415086649
117883,17.0,40.25683409398404
117884,13.0,21.584726077711572
117885,58.0,23.357001044243525
117886,61.0,30.78098211771862
117887,34.0,36.05897259393303
117888,39.0,36.65435624287082
117889,32.0,34.33480601697197
117890,28.0,32.27701670520302
117891,32.0,27.20914387168523
117892,39.0,28.97900662524435
117893,35.0,32.43182564067782
117894,50.0,31.823379400580848
117895,43.0,41.30468846826368
117896,41.0,38.19445162539688
117897,28.0,39.02829835333983
117898,21.0,25.359326143709662
117899,41.0,24.767321512958773
117900,45.0,36.15955320312399
117901,45.0,36.95833893483723
117902,48.0,37.44249945772164
117903,54.0,39.53865190676696
117904,34.0,48.116805411395504
117905,52.0,37.96962092143009
117906,59.0,41.59017687285852
117907,39.0,48.978308681110185
117908,37.0,45.50538356212654
117909,50.0,39.621753602736554
117910,48.0,46.801637953058545
117911,34.0,45.31432988591001
117912,32.0,40.18246192599675
117913,30.0,32.3285903441633
117914,35.0,30.23986281468552
117915,39.0,33.34466003088019
117916,41.0,37.676893250023554
117917,30.0,38.436886282247144
117918,28.0,33.109149213640336
117919,26.0,28.27123388795977
117920,22.0,25.874320459690725
117921,5.0,26.606280023852552
117922,9.0,16.009722988480384
117923,4.0,11.340148850517224
117924,15.0,8.49348275955461
117925,13.0,13.231768036653474
117926,11.0,12.221823343895993
117927,11.0,11.1488810768762
117928,11.0,10.415050777200463
117929,13.0,10.47378830914936
117930,11.0,11.376719142339482
117931,13.0,9.774837340106348
117932,15.0,10.638094803319593
117933,11.0,13.536699606976454
117934,21.0,10.960569438495025
117935,15.0,18.357781910774083
117936,17.0,15.1371724261668
117937,18.0,14.041508276386455
117938,21.0,17.783363593644303
117939,26.0,20.5350714547354
117940,30.0,25.91000196936466
117941,32.0,31.403018920828174
117942,30.0,30.847479399349574
117943,28.0,30.625448306183664
117944,30.0,26.65720336666466
117945,30.0,28.475431739333366
117946,34.0,26.250836420011165
117947,26.0,30.304527117418345
117948,26.0,25.30239091055915
117949,28.0,25.376071464019574
117950,22.0,25.412039436129685
117951,22.0,23.08601262955096
117952,22.0,21.476021032965946
117953,26.0,20.368787485487434
117954,24.0,23.588299071020714
117955,22.0,21.944231703040238
117956,22.0,22.10816264021441
117957,30.0,21.563381449008993
117958,22.0,27.967359374080665
117959,26.0,22.770170913287437
117960,28.0,25.325350007237518
117961,30.0,26.977632044096072
117962,24.0,28.381912014672082
117963,34.0,24.806938683703205
117964,39.0,30.67028795637239
117965,35.0,35.01300427035035
117966,37.0,33.57392744271203
117967,41.0,33.56797636550169
117968,34.0,36.45281160705309
117969,39.0,32.9663557318759
117970,43.0,35.21058675917154
117971,45.0,37.08624160836045
117972,34.0,39.52926793065623
117973,43.0,35.59070160924045
117974,50.0,36.770748090009505
117975,39.0,42.26630052900241
117976,34.0,40.61963481485697
117977,34.0,33.457073029311346
117978,34.0,33.30364182653563
117979,35.0,33.810366948064726
117980,30.0,32.9507260352522
117981,13.0,29.115846711025046
117982,41.0,19.378156273085942
117983,35.0,40.76508879769543
117984,37.0,37.3982576803041
117985,28.0,36.763244841084365
117986,43.0,31.597945822303075
117987,35.0,41.583364790034544
117988,34.0,35.252565153329236
117989,18.0,30.041016324082758
117990,26.0,26.242885048383847
117991,22.0,29.289288057513716
117992,32.0,23.05318605337293
117993,30.0,32.34682989900616
117994,30.0,29.631643006233933
117995,28.0,28.41899053103792
117996,34.0,26.94779353319924
117997,32.0,30.904945343531807
117998,35.0,29.24303561439912
117999,32.0,30.67772932559311
118000,24.0,29.36476556825338
118001,26.0,24.34052121699832
118002,22.0,24.446013296932986
118003,22.0,22.61490358988427
118004,30.0,22.46416318607971
118005,30.0,26.787575748526884
118006,28.0,24.413058862784936
118007,5.0,21.52866851746598
118008,22.0,12.14567039676929
118009,24.0,23.866796402817332
118010,32.0,27.632464411307865
118011,32.0,33.021900661118224
118012,32.0,32.47099030285798
118013,34.0,32.701338348081684
118014,32.0,30.599788188444343
118015,28.0,29.556203726045243
118016,26.0,27.638215042228655
118017,22.0,24.82627396596878
118018,28.0,22.52910998830689
118019,30.0,26.367477737901513
118020,24.0,28.522562979327844
118021,28.0,24.10047008736136
118022,30.0,25.529180699544273
118023,28.0,27.1012981035951
118024,28.0,25.67944824725611
118025,28.0,25.136093837061203
