Model,MAE,RMSE,NRMSE
Naive (t-1),6.767732962447845,9.778350245249761,0.13581042007291336
XGBoost,6.274479197527338,8.777233087104511,0.12190601509867377
SVR,6.422669172449319,8.994965053462469,0.12493007018697873
Hybrid (XGB+SVR),6.28304919198408,8.783501939583752,0.12199308249421878
