,target_wind_speed,pred_xgb
118400,22.0,30.943598
118401,24.0,23.967577
118402,24.0,20.345985
118403,34.0,20.044918
118404,24.0,28.135784
118405,17.0,25.342575
118406,21.0,21.156979
118407,17.0,21.092989
118408,17.0,19.895756
118409,11.0,17.148848
118410,22.0,13.898227
118411,28.0,19.21496
118412,32.0,22.05017
118413,17.0,21.649723
118414,18.0,22.626602
118415,17.0,20.86067
118416,9.0,20.743902
118417,21.0,12.577739
118418,15.0,24.152576
118419,5.0,19.17755
118420,8.0,10.377609
118421,15.0,11.235447
118422,11.0,14.987375
118423,13.0,14.87773
118424,17.0,14.232156
118425,11.0,16.032503
118426,13.0,11.895026
118427,11.0,12.7453375
118428,8.0,11.28023
118429,8.0,9.190956
118430,4.0,9.312712
118431,4.0,7.884617
118432,8.0,7.8907247
118433,4.0,9.240266
118434,4.0,8.3905325
118435,0.0,8.404498
118436,5.0,8.399564
118437,8.0,9.31334
118438,8.0,9.563769
118439,5.0,9.273833
118440,4.0,8.384467
118441,5.0,8.3085165
118442,5.0,8.621247
118443,5.0,8.235329
118444,0.0,8.218663
118445,5.0,7.299698
118446,9.0,8.122303
118447,11.0,10.300854
118448,11.0,10.686999
118449,15.0,11.0311985
118450,9.0,12.511273
118451,9.0,10.361987
118452,11.0,10.012615
118453,15.0,10.196787
118454,15.0,12.236412
118455,13.0,12.447781
118456,8.0,11.966171
118457,8.0,9.0706005
118458,11.0,8.813381
118459,5.0,10.369519
118460,5.0,7.961849
118461,9.0,8.029091
118462,9.0,10.271909
118463,9.0,10.187731
118464,9.0,10.338469
118465,11.0,10.409278
118466,11.0,10.548145
118467,11.0,10.498763
118468,11.0,10.427301
118469,9.0,10.630328
118470,11.0,10.196151
118471,8.0,10.49617
118472,5.0,8.86819
