Model,MAE,RMSE
Naive (t-1),6.767732962447845,9.778350245249761
XGBoost,6.274479197527338,8.777233087104511
SVR,6.422669172449319,8.994965053462469
Hybrid (XGB+SVR),6.28304919198408,8.783501939583752
