datetime,pressure,temperature,humidity,wind_direction,wind_speed,u,v,wind_speed_reconstructed,pressure_24h
2024-02-08 09:00:00,758.5833333333334,3.9166666666666665,38.333333333333336,241.83333333333334,0.5166666666666667,0.4422303417251614,0.2627491740839308,0.5143975151807606,757.7388888888889
2024-02-08 10:00:00,758.1666666666666,3.9166666666666665,43.333333333333336,231.16666666666666,0.9166666666666666,0.6848978123112808,0.577679754149591,0.8959904640469731,757.7923611111111
2024-02-08 11:00:00,757.8166666666666,3.1999999999999997,53.5,232.33333333333334,2.3833333333333333,1.85305525455779,1.4662743979906316,2.3630011397896165,757.8375
2024-02-08 12:00:00,757.6166666666667,3.283333333333333,55.333333333333336,252.33333333333334,2.6333333333333333,2.4914063793025556,0.8209904060017302,2.6231909944905567,757.8715277777778
2024-02-08 13:00:00,757.5666666666666,2.45,59.0,249.0,3.3000000000000003,3.0501717106576636,1.1583635026972712,3.262721788457819,757.8958333333334
2024-02-08 14:00:00,757.5833333333334,0.3333333333333333,75.33333333333333,247.0,2.1166666666666667,1.8683889931723907,0.9282200291843677,2.0862573792288353,757.9124999999999
2024-02-08 15:00:00,757.7166666666667,-1.1833333333333333,85.16666666666667,238.33333333333334,0.45,0.4478677079356453,-0.014904301186751701,0.44811563463618836,757.9291666666667
2024-02-08 16:00:00,757.9333333333334,-0.4666666666666666,69.66666666666667,289.8333333333333,2.9333333333333336,2.667594514898075,-1.145841640420766,2.9032763493743494,757.9395833333333
2024-02-08 17:00:00,757.9166666666666,0.18333333333333335,53.166666666666664,299.0,3.6999999999999997,3.1526567618119565,-1.8176053252143782,3.6390841946905157,757.9430555555556
2024-02-08 18:00:00,757.9333333333334,-1.4000000000000001,54.333333333333336,222.0,1.0666666666666667,1.0112990445539716,0.011327098486762652,1.0113624773917138,757.9381944444444
2024-02-08 19:00:00,757.9166666666666,-2.316666666666667,55.333333333333336,102.33333333333333,0.0,0.0,0.0,0.0,757.9375
2024-02-08 20:00:00,757.7666666666668,-2.1999999999999997,52.833333333333336,71.16666666666667,0.06666666666666667,-0.05843239725035423,-0.030363809443105766,0.06585063380348319,757.9409722222222
2024-02-08 21:00:00,757.6,-2.75,53.666666666666664,95.16666666666667,0.26666666666666666,-0.20803701745011438,-0.06428930831981577,0.21774415214599802,757.9458333333332
2024-02-08 22:00:00,757.3333333333334,-4.3999999999999995,54.666666666666664,135.16666666666666,0.6666666666666666,-0.037765355491205806,-0.6038459224944147,0.6050257186174054,757.9423611111112
2024-02-08 23:00:00,757.0666666666666,-4.566666666666666,55.333333333333336,332.1666666666667,1.0,0.45615201625472507,-0.8820349822354174,0.9930057259755777,757.9270833333334
2024-02-09 00:00:00,756.75,-4.6499999999999995,56.166666666666664,329.3333333333333,1.4833333333333334,0.7397223206132066,-1.2806396974420484,1.4789277015046574,757.8965277777778
2024-02-09 01:00:00,756.5500000000001,-4.033333333333333,54.5,196.83333333333334,1.15,0.22576676401116388,-1.0593604550889573,1.0831505922716174,757.8625000000001
2024-02-09 02:00:00,756.3833333333333,-3.9166666666666665,54.0,344.0,2.15,0.6117356093431198,-2.0561307839209575,2.1452026142828116,757.8173611111112
2024-02-09 03:00:00,756.3333333333334,-4.866666666666666,54.666666666666664,333.3333333333333,1.45,0.5126412310242406,-1.2863529028193421,1.3847399836567862,757.7590277777778
2024-02-09 04:00:00,756.5666666666666,-4.933333333333334,56.166666666666664,216.66666666666666,0.5,0.20374797933252128,-0.3435310846278275,0.39940811858005226,757.6902777777777
2024-02-09 05:00:00,756.9166666666666,-2.566666666666667,53.833333333333336,109.5,0.13333333333333333,-0.1062111192602394,-0.052653322282692185,0.1185460847177917,757.6166666666667
2024-02-09 06:00:00,757.1,0.5166666666666666,45.666666666666664,156.5,0.4166666666666667,0.4038854465329524,0.09981229549281984,0.41603599393882773,757.5430555555555
2024-02-09 07:00:00,757.4499999999999,4.1000000000000005,35.166666666666664,129.0,1.25,-1.1091246633587935,0.500241770311833,1.2167166258564373,757.4791666666666
2024-02-09 08:00:00,757.5,4.6000000000000005,30.0,130.0,1.0166666666666666,-0.740944063312594,0.6627383974172432,0.994092696064785,757.4194444444444
