datetime,temp,pressure,humidity,wind_direction,wind_speed,u,v,pressure_24h
2024-01-07 12:00:00,25.1,1016.7,46.0,240.0,5.0,4.330127018922194,2.4999999999999996,1016.0500000000001
2024-01-07 15:00:00,22.0,1018.1,64.0,260.0,2.0,1.969615506024416,0.34729635533386066,1016.25
2024-01-07 18:00:00,18.1,1019.2,72.0,290.0,2.0,1.8793852415718169,-0.6840402866513374,1016.4416666666666
2024-01-07 21:00:00,16.9,1019.9,45.0,320.0,2.0,1.2855752193730787,-1.532088886237956,1016.6500000000001
2024-01-08 00:00:00,15.400001,1020.0,48.0,360.0,2.0,1.2246467991473532e-16,-2.0,1016.85
2024-01-08 03:00:00,15.400001,1021.2,43.0,30.0,2.0,-1.0000000000000009,-1.7320508075688767,1017.0416666666666
2024-01-08 06:00:00,23.5,1023.8,22.0,20.0,3.0,-1.0260604299770058,-2.8190778623577253,1017.2708333333334
2024-01-08 09:00:00,27.6,1021.4,12.0,170.0,2.0,-0.3472963553338606,1.969615506024416,1017.5124999999999
2024-01-08 12:00:00,26.0,1019.6,18.0,230.0,4.0,3.064177772475912,2.571150438746157,1017.7333333333335
2024-01-08 15:00:00,19.5,1020.2,49.0,250.0,2.0,1.8793852415718169,0.6840402866513374,1017.9458333333333
2024-01-08 18:00:00,14.6,1021.3,60.0,99.0,1.0,-0.9876883405951377,0.15643446504023098,1018.1875
2024-01-08 21:00:00,12.3,1020.4,62.0,320.0,2.0,1.2855752193730787,-1.532088886237956,1018.3958333333334
2024-01-09 00:00:00,11.400001,1020.1,54.0,340.0,2.0,0.6840402866513376,-1.8793852415718166,1018.5833333333334
2024-01-09 03:00:00,8.900001,1021.1,60.0,290.0,2.0,1.8793852415718169,-0.6840402866513374,1018.7874999999999
2024-01-09 06:00:00,21.7,1022.7,22.0,60.0,2.0,-1.7320508075688772,-1.0000000000000002,1018.9875000000001
2024-01-09 09:00:00,25.6,1020.8,22.0,250.0,5.0,4.698463103929543,1.7101007166283435,1019.1791666666667
2024-01-09 12:00:00,25.0,1018.9,27.0,190.0,5.0,0.8682408883346521,4.92403876506104,1019.3458333333333
2024-01-09 15:00:00,21.6,1019.6,47.0,220.0,3.0,1.9283628290596182,2.298133329356934,1019.4875000000001
2024-01-09 18:00:00,16.5,1020.3,59.0,260.0,2.0,1.969615506024416,0.34729635533386066,1019.6583333333333
2024-01-09 21:00:00,12.400001,1020.6,65.0,40.0,2.0,-1.285575219373079,-1.5320888862379558,1019.8625000000001
2024-01-10 00:00:00,10.8,1020.0,66.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1020.0416666666666
2024-01-10 03:00:00,8.8,1020.2,68.0,330.0,3.0,1.5000000000000004,-2.598076211353316,1020.1666666666666
