iter	MAE
621	0.5805328775
622	0.5803986541
623	0.5803330201
624	0.5802626488
625	0.5802123752
626	0.5801657213
627	0.5800716756
628	0.5800191216
629	0.5799396796
630	0.5798986003
631	0.5798297772
632	0.5797726694
633	0.5797212165
634	0.5796873598
635	0.5795389385
636	0.579465256
637	0.5793802403
638	0.5793138984
639	0.5790925294
640	0.5790560228
641	0.5789241037
642	0.57885839
643	0.5788048128
644	0.5787592971
645	0.5786790667
646	0.5785890891
647	0.5785560669
648	0.5784858432
649	0.5784280103
650	0.5783790732
651	0.5783242596
652	0.5782528436
653	0.5780826238
654	0.5780310806
655	0.5779229885
656	0.5778584489
657	0.5778144612
658	0.5775777641
659	0.5775352259
660	0.5774308722
661	0.5773913365
662	0.5773617533
663	0.5772767363
664	0.5772207713
665	0.5771311786
666	0.5770410121
667	0.5769846313
668	0.5769157855
669	0.5768131855
670	0.5767594478
671	0.5766767412
672	0.5766347186
673	0.5765097452
674	0.5764384725
675	0.5763126892
676	0.5762043466
677	0.5761644274
678	0.5760610151
679	0.5760136665
680	0.5759795676
681	0.5759391838
682	0.5757879573
683	0.5757469763
684	0.5756801239
685	0.5756031541
686	0.5755496951
687	0.5754240655
688	0.5753781934
689	0.5753001606
690	0.5752251118
691	0.5751129243
692	0.5750091527
693	0.5749044712
694	0.5747998492
695	0.5747563581
696	0.5746924125
697	0.5746450666
698	0.5745552349
699	0.5744925325
700	0.5744296936
701	0.574387042
702	0.574305443
703	0.5742776206
704	0.5742302221
705	0.5740785153
706	0.5740266638
707	0.5739435655
708	0.5738876546
709	0.5738400843
710	0.5737895502
711	0.5737392859
712	0.5736938646
713	0.5735858916
714	0.5735508312
715	0.5735028339
716	0.5734218771
717	0.5733890521
718	0.5733000979
719	0.5732087623
720	0.5731535514
721	0.573091555
722	0.5730195977
723	0.5729258039
724	0.5727325876
725	0.572694362
726	0.5725980398
727	0.5725321202
728	0.5724552403
729	0.5723548654
730	0.5722814871
731	0.5722337348
732	0.5721672458
733	0.5720993613
734	0.5718978196
735	0.5718273963
736	0.5717745437
737	0.5717435159
738	0.5716488016
739	0.5715592989
740	0.5714962211
741	0.5714506857
742	0.5713042337
743	0.5712443829
744	0.5711898473
745	0.5711044806
746	0.5709980682
747	0.570902814
748	0.5708599245
749	0.5707915259
750	0.5707068518
751	0.5706927362
752	0.5705640962
753	0.57048771
754	0.5704523478
755	0.5702864599
756	0.5702007525
757	0.5701493106
758	0.5700957278
759	0.5700157971
760	0.5699722704
761	0.5699156146
762	0.5698385373
763	0.5697712389
764	0.5697107669
765	0.5696585781
766	0.5695799855
767	0.5694958867
768	0.5694388268
769	0.5693836023
770	0.5692854335
771	0.569200524
772	0.5691567899
773	0.5690927601
774	0.5689426756
775	0.5688503594
776	0.5687905098
777	0.5687486531
778	0.5686973848
779	0.568650506
780	0.5685445064
781	0.5685092845
782	0.5683994648
783	0.5683436077
784	0.5682815078
785	0.568240169
786	0.5681457663
787	0.5680570292
788	0.5680053545
789	0.5679660518
790	0.5679221339
791	0.5678838309
792	0.5677973597
793	0.567653682
794	0.5675981704
795	0.5675445366
796	0.5674748242
797	0.5674173456
798	0.5672580529
799	0.5671171863
800	0.5670177251
801	0.5669805684
802	0.5669095456
803	0.5668483251
804	0.5668087881
805	0.5667552033
806	0.5667020334
807	0.5666284809
808	0.5666021958
809	0.5664368089
810	0.5663579589
811	0.566151787
812	0.5661201027
813	0.5660645725
814	0.5659604836
815	0.5659285334
816	0.5658774399
817	0.5658060007
818	0.5657516966
819	0.565701539
820	0.5656400173
821	0.5655869886
822	0.5655331841
823	0.5654760496
824	0.5654519594
825	0.5653900387
826	0.5653297874
827	0.5652648892
